,First_max,First_min,Second_max,Second_min,First_distance,Second_distance,Third_distance,mean,stdSpe,type
148,32.0403,4.6355,3.6399,-5.6828,-13,-1,-14,17.7449,10.518,3
149,29.9781,-22.9254,5.0656,-33.8818,-16,-8,-24,-4.8775,14.6113,3
150,27.1796,-19.2259,14.7246,-34.3634,-14,-12,-26,0.099077,14.5146,3
151,28.8413,-32.2283,9.4419,-32.203,-23,-13,-36,-11.2402,17.6819,3
152,29.436,-31.3165,16.6561,-30.9416,-23,-14,-37,-7.8477,18.7501,3
153,30.7281,-26.9294,6.388,-34.0807,-18,-10,-28,-5.1424,16.02,3
154,26.4869,-28.853,8.2972,-33.2618,-19,-11,-30,-7.8623,15.8632,3
155,34.3689,-11.5109,-0.49668,1.327,-12,-6,-18,4.2842,14.4579,3
156,28.5293,-29.3203,10.7184,-35.3146,-20,-12,-32,-6.9046,16.7433,3
157,29.8694,-23.8297,9.4207,-33.7973,-21,-9,-30,-7.1717,16.9845,3
158,29.5432,-23.9768,5.3467,-33.5262,-15,-9,-24,-4.6165,13.9778,3
159,28.5583,-26.7448,12.6649,-31.3449,-19,-11,-30,-4.8945,16.6961,3
160,27.4308,-27.6703,14.6536,-34.1363,-19,-11,-30,-5.545,16.651,3
161,26.8044,-19.0823,13.2264,-34.9413,-15,-9,-24,-1.2939,14.5186,3
162,30.8409,-22.7775,15.424,-35.3528,-15,-13,-28,0.1663,15.5647,3
163,36.4097,-23.0119,14.9458,-34.9089,-17,-11,-28,-0.90708,16.828,3
164,26.0912,-29.7838,10.1819,-33.4733,-20,-10,-30,-8.6838,16.2181,3
165,28.7789,-22.9858,10.8103,-33.9587,-18,-11,-29,-3.4314,16.1707,3
166,31.9155,-24.2598,12.5417,-34.522,-20,-11,-31,-5.9289,16.8812,3
167,27.0038,-29.6515,14.5907,-34.1025,-20,-12,-32,-7.7998,16.7497,3
168,30.8312,-22.9358,7.3838,-34.1265,-17,-9,-26,-4.5279,15.3598,3
169,35.4213,21.0131,20.5628,8.39,-10,-1,-11,26.2756,5.207,3
170,29.0996,-23.8578,7.0061,-33.8191,-16,-8,-24,-5.4136,14.5644,3
171,29.0751,-27.7979,10.3577,-33.1361,-19,-11,-30,-6.6224,16.2887,3
172,27.571,-18.4622,6.0429,-33.6518,-14,-8,-22,-0.8103,13.8688,3
173,30.3654,-20.4636,10.0342,-36.0859,-16,-9,-25,-3.0065,14.9388,3
174,29.5066,-23.5716,12.0313,-35.1994,-18,-11,-29,-3.7394,16.2015,3
175,33.9453,-23.9948,10.8837,-34.094,-22,-9,-31,-7.5868,17.5244,3
176,33.2223,-29.5278,15.3159,-35.8431,-20,-13,-33,-5.8577,17.8442,3
177,31.054,-30.8728,13.1529,-33.2831,-23,-11,-34,-8.9137,17.9042,3
178,30.5721,-28.0861,16.7433,-35.0627,-19,-14,-33,-4.0262,17.517,3
179,31.336,-31.1984,14.9122,-33.2768,-23,-12,-35,-8.7743,18.2123,3
180,31.7597,-28.4773,14.0958,-33.85,-21,-11,-32,-5.718,17.9744,3
181,33.3424,-19.5756,3.9776,-33.8444,-16,-7,-23,-3.867,14.9373,3
182,31.1716,-24.7804,11.0225,-35.5212,-18,-10,-28,-6.4137,15.5649,3
183,26.7064,-18.1603,5.8231,-33.8609,-14,-8,-22,-2.307,13.3896,3
184,33.0979,-20.6582,5.7269,9.0572,-14,-8,-22,-1.4248,14.25,3
185,30.0532,-11.2844,9.3849,-35.2671,-11,-7,-18,1.7618,11.5823,3
186,28.5846,-25.6959,9.4214,-33.7025,-20,-9,-29,-7.0997,16.5499,3
187,27.5632,-16.1738,7.6803,-34.2833,-13,-8,-21,-2.0184,12.5231,3
188,30.8175,-14.4106,2.7775,-34.8419,-14,-6,-20,-1.59,13.7474,3
189,29.8106,-18.191,7.0794,-33.67,-14,-7,-21,-1.1686,14.2806,3
190,27.9835,-28.143,8.2173,-33.7152,-19,-10,-29,-7.9525,15.7122,3
